TrialIndex,Subject,Congruence,ResponseTime,Correct
2671,11,1,535,1
2672,11,1,533,1
2673,11,2,602,1
2674,11,1,573,1
2675,11,1,489,1
2676,11,1,576,1
2677,11,2,588,1
2678,11,2,543,1
2679,11,2,548,1
2680,11,2,496,1
2681,11,2,583,1
2682,11,1,634,1
2683,11,1,548,1
2684,11,1,545,1
2685,11,1,485,1
2686,11,1,597,1
2687,11,1,767,1
2848,12,2,502,1
2849,12,2,381,1
2850,12,2,416,1
2851,12,1,506,1
2852,12,1,417,1
2853,12,2,531,1
2854,12,1,408,1
2855,12,1,699,1
2856,12,1,409,1
2857,12,1,379,1
2858,12,1,391,1
2859,12,1,402,1
2860,12,1,405,1
2861,12,2,463,1
2862,12,2,431,1
2863,12,2,401,1
2864,12,1,363,1
2865,12,1,391,1
2866,12,1,467,1
2867,12,1,419,1
2868,12,2,493,1
2869,12,2,468,1
2870,12,2,476,1
2871,12,1,388,1
2872,12,2,495,1
2873,12,1,422,1
2874,12,2,464,1
2875,12,2,536,1
2876,12,2,469,1
2877,12,1,526,1
2878,12,2,452,1
2879,12,2,380,1
2976,12,1,515,1
2977,12,2,473,1
2978,12,1,449,1
2979,12,2,434,1
2980,12,1,451,1
2981,12,1,460,1
2982,12,2,468,1
2983,12,2,500,1
2984,12,1,467,1
2985,12,1,355,1
2986,12,2,488,1
2987,12,1,439,1
2988,12,2,464,1
2989,12,2,488,1
2990,12,1,424,1
2991,12,1,417,1
2992,12,1,443,1
2993,12,2,579,1
2994,12,2,559,1
2995,12,1,427,1
2996,12,1,437,1
2997,12,2,494,1
2998,12,2,365,1
2999,12,2,481,1
3000,12,2,464,1
3001,12,2,456,1
3002,12,2,401,1
3003,12,1,451,1
3004,12,1,364,1
3005,12,1,384,1
3006,12,1,403,1
3007,12,2,502,1
3104,12,2,558,1
3105,12,1,394,1
3106,12,2,493,1
3107,12,1,588,0
3108,12,2,548,1
3109,12,1,392,1
3110,12,1,500,1
3111,12,1,394,1
3112,12,1,445,1
3113,12,2,486,1
3114,12,1,405,1
3115,12,1,480,1
3116,12,1,455,1
3117,12,1,408,1
3118,12,2,498,1
3119,12,1,481,1
3120,12,2,496,1
3121,12,1,383,1
3122,12,2,418,0
3123,12,1,329,1
3124,12,2,446,1
3125,12,1,519,1
3126,12,2,549,1
3127,12,2,898,1
3128,12,2,416,1
3129,12,2,442,1
3130,12,2,444,1
3131,12,2,412,1
3132,12,2,438,1
3133,12,1,560,1
3134,12,1,468,1
3135,12,2,492,1
3232,12,2,465,1
3233,12,2,465,1
3234,12,1,417,1
3235,12,2,411,1
3236,12,1,421,1
3237,12,2,431,1
3238,12,2,416,1
3239,12,1,458,1
3240,12,1,379,1
3241,12,1,422,1
3242,12,1,400,1
3243,12,1,339,1
3244,12,2,392,1
3245,12,2,419,1
3246,12,2,436,1
3247,12,1,534,1
3248,12,2,419,1
3249,12,2,405,1
3250,12,2,456,1
3251,12,1,416,1
3252,12,1,402,1
3253,12,1,405,1
3254,12,2,456,1
3255,12,2,392,1
3256,12,1,467,1
3257,12,1,403,1
3258,12,2,462,1
3259,12,1,470,1
3260,12,2,518,1
3261,12,1,556,1
3262,12,1,417,1
3263,12,2,523,1
3360,12,1,389,1
3361,12,1,408,1
3362,12,1,395,1
3363,12,1,373,1
3364,12,2,409,1
3365,12,2,475,1
3366,12,2,475,1
3367,12,2,395,1
3368,12,1,478,1
3369,12,1,445,1
3370,12,1,398,1
3371,12,2,473,0
3372,12,1,469,1
3373,12,2,517,1
3374,12,1,435,1
3375,12,2,429,1
3376,12,2,486,1
3377,12,2,429,1
3378,12,2,503,1
3379,12,1,477,1
3380,12,1,589,1
3381,12,1,568,1
3382,12,2,476,1
3383,12,2,556,1
3384,12,2,472,1
3385,12,2,408,1
3386,12,2,435,1
3387,12,2,484,1
3388,12,1,500,1
3389,12,1,426,1
3390,12,1,388,1
3391,12,1,375,1
3488,12,1,374,1
3489,12,2,434,1
3490,12,1,467,1
3491,12,2,403,1
3492,12,2,438,1
3493,12,1,415,1
3494,12,2,489,1
3495,12,2,417,1
3496,12,2,451,1
3497,12,2,371,1
3498,12,1,583,1
3499,12,1,371,1
3500,12,1,407,1
3501,12,1,385,1
3502,12,1,421,1
3503,12,2,463,1
3504,12,2,479,1
3505,12,1,358,1
3506,12,2,395,1
3507,12,2,429,1
3508,12,1,447,1
3509,12,1,319,1
3510,12,1,357,1
3511,12,2,570,1
3512,12,2,326,1
3513,12,2,356,1
3514,12,1,313,1
3515,12,2,327,0
3516,12,2,481,1
3517,12,1,408,1
3518,12,1,378,1
3519,12,1,341,1
3776,13,1,503,1
3777,13,2,462,1
3778,13,2,486,1
3779,13,1,350,1
3780,13,2,418,1
3781,13,2,404,1
3782,13,1,399,1
3783,13,1,338,1
3784,13,1,335,1
3785,13,2,388,1
3786,13,2,391,1
3787,13,2,451,1
3788,13,1,707,1
3789,13,2,442,1
3790,13,2,388,1
3791,13,2,327,1
3792,13,1,388,1
3793,13,2,343,0
3794,13,1,321,1
